"dudley","was"
"was","now"
"now","having"
"having","a"
"a","tantrum"
"tantrum","and"
"and","throwing"
"throwing","his"
"his","cereal"
"cereal","at"
"at","the"
"the","walls"
"walls","little"
"little","tyke"
"tyke","chortled"
"chortled","mr."
"mr.","dursley"
"dursley","as"
"as","he"
"he","left"
"left","the"
"the","house"
"house","he"
"he","got"
"got","into"
"into","his"
"his","car"
"car","and"
"and","backed"
"backed","out"
"out","of"
"of","number"
"number","four"
"four","drive"
"drive","it"
"it","was"
"was","on"
"on","the"
"the","corner"
"corner","of"
"of","the"
"the","street"
"street","that"
"that","he"
"he","noticed"
"noticed","the"
"the","first"
"first","sign"
"sign","of"
"of","something"
"something","peculiar"
"peculiar","a"
"a","cat"
"cat","reading"
"reading","a"
"a","map"
"map","for"
"for","a"
"a","second"
"second","mr."
"mr.","dursley"
"dursley","did"
"did","n't"
"n't","realize"
"realize","what"
"what","he"
"he","had"
"had","seen"
"seen","then"
"then","he"
"he","jerked"
"jerked","his"
"his","head"
"head","around"
"around","to"
"to","look"
"look","again"
"again","there"
"there","was"
"was","a"
"a","tabby"
"tabby","cat"
"cat","standing"
"standing","on"
"on","the"
"the","corner"
"corner","of"
"of","privet"
"privet","drive"
"drive","but"
"but","there"
"there","was"
"was","n't"
"n't","a"
"a","map"
"map","in"
"in","sight"
"sight","what"
"what","could"
"could","he"
"he","have"
"have","been"
"been","thinking"
"thinking","of"
"of","it"
"it","must"
"must","have"
"have","been"
"been","a"
"a","trick"
"trick","of"
"of","the"
"the","light"
"light","mr."
"mr.","dursley"
"dursley","blinked"
"blinked","and"
"and","stared"
"stared","at"
"at","the"
"the","cat"
"cat","it"
"it","stared"
"stared","back"
"back","as"
"as","mr."
"mr.","dursley"
"dursley","drove"
"drove","around"
"around","the"
"the","corner"
"corner","and"
"and","up"
"up","the"
"the","road"
"road","he"
"he","watched"
"watched","the"
"the","cat"
"cat","in"
"in","his"
"his","mirror"
"mirror","it"
"it","was"
"was","now"
"now","reading"
"reading","the"
"the","sign"
"sign","that"
"that","said"
"said","privet"
"privet","drive"
"drive","no"
"no","looking"
"looking","at"
"at","the"
"the","sign"
"sign","cats"
